source,variable,year,Q,value,case,sd,q25,q75
SIPP,Emp,1996,2,0.035703987053277986,MFIP,0.002229597585171363,0.03381340636106988,0.03680887714747434
SIPP,Emp,1996,3,0.03702919868771274,MFIP,0.0022556385057321926,0.035074707789733615,0.03810516462802019
SIPP,AFDC,1994,1,0.016700335112823136,MFIP,0.0022468552478518387,0.01726615876501059,0.020284815271001764
SIPP,AFDC,1994,2,0.025661364089494557,MFIP,0.003062098793489736,0.026604139484633353,0.030718078045558855
SIPP,AFDC,1994,3,0.03070730590100444,MFIP,0.0035160798966794456,0.03198338080327568,0.036707244285733576
SIPP,AFDC,1995,0,0.0330238181488942,MFIP,0.0037517819698600495,0.03460405494248641,0.0396445848400872
SIPP,AFDC,1995,1,0.03404594119767384,MFIP,0.0038840706705368265,0.035874116645373176,0.041092376793887476
SIPP,AFDC,1995,2,0.03418388525373036,MFIP,0.003933397357153424,0.03623550112902679,0.04152003182328121
SIPP,AFDC,1995,3,0.03370340514632923,MFIP,0.003931868983835571,0.035965572718121085,0.04124805003841475
SIPP,AFDC,1996,0,0.03261612855786233,MFIP,0.0038905024502076365,0.03507815197597206,0.040305053239024995
SIPP,AFDC,1996,1,0.03137134314383436,MFIP,0.003830018814370498,0.03402029505975046,0.039165936383606
SIPP,AFDC,1996,2,0.030042137465464257,MFIP,0.0037558463454929556,0.03286024897883595,0.03790623937682224
SIPP,AFDC,1996,3,0.028804314479663147,MFIP,0.0036369001431379236,0.03185332066365718,0.036739506495708375
