source,variable,year,Q,value,case,sd,q25,q75
CTJF,AFDC,1997,2,0.07365147026106912,Treatment,0.004114887373713813,0.06608277763258245,0.07373498648481047
CTJF,AFDC,1997,3,0.08174137329648583,Treatment,0.004133509141170649,0.0739212692525545,0.08145702482414326
CTJF,AFDC,1998,0,0.08830181329298582,Treatment,0.004164731481600389,0.08059469912935563,0.08801853552842348
CTJF,AFDC,1998,1,0.08943349300152313,Treatment,0.004016765167905218,0.08354035887181001,0.0906924608737274
CTJF,AFDC,1998,2,0.008685781955772593,Treatment,0.006573007708432888,-0.00014074882014554122,0.010893200741246738
CTJF,AFDC,1998,3,-0.05695289323074749,Treatment,0.009280813000934043,-0.07021976784201776,-0.05454344550373693
CTJF,AFDC,1999,0,-0.10939031565228034,Treatment,0.011332508436413374,-0.1261440914047101,-0.10696506959916077
CTJF,AFDC,1999,1,-0.15142035255375205,Treatment,0.012984273820518729,-0.1712564449622169,-0.14907991878754726
CTJF,AFDC,1999,2,-0.18424957353749508,Treatment,0.014133903890678286,-0.20661600255525478,-0.18231049759061546
CTJF,AFDC,1999,3,-0.20997058772610475,Treatment,0.01491234714479052,-0.2343894744305009,-0.20884534873599708
CTJF,AFDC,2000,0,-0.2294460051035771,Treatment,0.015429750134888164,-0.2554854820448115,-0.22915843220382756
CTJF,AFDC,2000,1,-0.24430613861568046,Treatment,0.015877778066196495,-0.2718408743010016,-0.24484343199734684
CTJF,AFDC,2000,2,-0.2547156645078747,Treatment,0.01618493601580004,-0.28343609963908484,-0.2559617756453626
CTJF,AFDC,2000,3,-0.2626693599392351,Treatment,0.01597051833587694,-0.2914656406200804,-0.2644570482177844
CTJF,AFDC,2001,0,-0.26994782160537106,Treatment,0.01601914086068788,-0.29830543414832766,-0.2713373300297339
FTP,Emp,1994,2,0.0038646990399546243,Treatment,0.0016868306702260882,0.0021873107551176104,0.005386780627680676
FTP,Emp,1994,3,0.027947582863830367,Treatment,0.003705013807913159,0.02504779060222039,0.03206769031103859
FTP,Emp,1995,0,0.04210731099911798,Treatment,0.004693839876586412,0.039736851755636245,0.048654874316085756
FTP,Emp,1995,1,0.05030841631345348,Treatment,0.005311609853685639,0.049099415034820446,0.05911756804185497
FTP,Emp,1995,2,0.05457968650180801,Treatment,0.00574210581169047,0.05466909999843391,0.06529988628842873
FTP,Emp,1995,3,0.056469966426151014,Treatment,0.006066329692982181,0.057806399010436736,0.06876837862775995
FTP,Emp,1996,0,0.0570093780513523,Treatment,0.006317676347242957,0.05950136957356267,0.07060965340666903
FTP,Emp,1996,1,0.06456847025123831,Treatment,0.00751615910763206,0.06940500715711385,0.08190068431801817
FTP,Emp,1996,2,0.06252773880287017,Treatment,0.0075213001438680874,0.06800632718376613,0.08052807752585794
FTP,Emp,1996,3,0.05963472866422268,Treatment,0.00735360495407959,0.06535940430814906,0.07779769185484767
FTP,Emp,1997,0,0.056387074479891976,Treatment,0.007102195103451415,0.062247425856548536,0.07439104952716635
FTP,Emp,1997,1,0.05313208387688769,Treatment,0.006812939149247084,0.05904940454308663,0.07078192339468364
FTP,Emp,1997,2,0.050053438092169444,Treatment,0.006505492029577589,0.0559559816149696,0.06721452481262849
FTP,Emp,1997,3,0.04712920017882602,Treatment,0.00619068873724212,0.052954149462603246,0.0637087878116611
FTP,Emp,1998,0,0.04443301716599467,Treatment,0.005884998017044376,0.0501351044658924,0.06038867912752033
FTP,Emp,1998,1,0.04203457043605062,Treatment,0.00559846073033828,0.04759255402008684,0.0573717464077623
FTP,Emp,1998,2,0.039950971474402956,Treatment,0.005342729573717285,0.045366799586529866,0.05471804401030434
FTP,Emp,1998,3,0.03803827190660773,Treatment,0.005101544582559136,0.043286433463928735,0.05223461310947719
FTP,Emp,1999,0,0.03633184895424863,Treatment,0.004882288025673328,0.041403962051662926,0.049985641207699195
FTP,Emp,1999,1,0.03483485442491791,Treatment,0.004681519719155325,0.03972902916249566,0.0479799317363762
