source,arm,est_sample,year,Q,EMP,AFDC,EARN,LOGFULL
FTP,0,true,1997,3,0.556495782573435,0.4321525968371022,429.56112477160804,6.162816274191003
FTP,0,true,1998,0,0.557529350509762,0.4192151952233789,436.7433319570576,6.1679503329701575
FTP,0,true,1998,1,0.5584027334509409,0.4070621582190626,443.5202412218486,6.164626361135055
FTP,0,true,1998,2,0.5600338566813227,0.39556939032429755,451.8990286383493,6.165277764358813
FTP,0,true,1998,3,0.5607281201908931,0.3847381862519334,458.1712011202496,6.160221516217353
FTP,0,true,1999,0,0.5615032246942883,0.3746082758881996,464.1001224430393,6.166158190812764
FTP,0,true,1999,1,0.5649001806734348,0.35632543759468593,481.0014525529366,6.158115298869192
CTJF,1,true,1996,2,0.6382522342539783,0.8657393993772827,303.39517804830655,6.619540540057217
CTJF,1,true,1996,3,0.6261480881137393,0.8054102671902076,347.26809752255383,6.588934745056517
CTJF,1,true,1997,0,0.6163126531621975,0.7507287778904624,379.86976317781244,6.5625518884053005
CTJF,1,true,1997,1,0.6079847723007556,0.7007565637040123,404.2475282773162,6.522812071025395
CTJF,1,true,1997,2,0.6026212262725056,0.6549384631224456,426.8192292751067,6.492842112678742
CTJF,1,true,1997,3,0.5986490657208077,0.612254192953558,447.4453820142503,6.467535281470363
CTJF,1,true,1998,0,0.5957429013325066,0.5716415689320264,467.3739708066207,6.453955344893338
CTJF,1,true,1998,1,0.5935161237468014,0.5321218037921873,487.27901780864204,6.434377644818944
CTJF,1,true,1998,2,0.5853585758784969,0.49233023136517384,501.96308685705577,6.41218031109581
CTJF,1,true,1998,3,0.5843516084360908,0.4582402023891439,515.86047271571,6.385220272713794
CTJF,1,true,1999,0,0.5838983550815178,0.4289847189926568,528.9727243211004,6.372785812593818
CTJF,1,true,1999,1,0.5833652794864636,0.4037711230252255,539.3563989951781,6.352770634321796
CTJF,1,true,1999,2,0.5832447006843543,0.38196123391539294,549.2356374048718,6.331265252594476
CTJF,1,true,1999,3,0.5827914082109608,0.3631728300310883,556.4838494252416,6.313453438166019
CTJF,1,true,2000,0,0.5825374222093582,0.34693915715359186,563.3548031627362,6.302265560439619
CTJF,1,true,2000,1,0.5822922950897749,0.33285954465324813,569.8971886908887,6.289163431755586
CTJF,1,true,2000,2,0.5824006498927101,0.32067758655952494,576.5904357705612,6.2742522531882905
CTJF,1,true,2000,3,0.582219254586066,0.30908780509824063,582.2887519189395,6.257169873309074
CTJF,1,true,2001,0,0.5797225234557577,0.3029932994893418,575.8015954355158,6.26317021492831
SIPP,0,true,1992,2,0.7119642616081411,0.25658663091103,793.4354217516344,6.407258941885479
SIPP,0,true,1992,3,0.6802189915066772,0.25097105890624427,752.3116899113134,6.34024602539938
SIPP,0,true,1993,0,0.6918834943798865,0.2468911367740499,806.8477653469374,6.409770172155666
SIPP,0,true,1993,3,0.6598168831574363,0.2545560342842724,784.8172509512917,6.352130538072995
SIPP,0,true,1992,1,0.809929412720245,0.26813724409806794,902.4715865543187,6.604612732626687
SIPP,0,true,1994,3,0.6357751463612075,0.2462675233630719,791.1635122867409,6.330821808384279
FTP,1,true,1994,2,0.5407196008908655,0.775514232133822,196.66575649398203,6.203197385583552
FTP,1,true,1994,3,0.5481313023786561,0.7261045695889522,241.9919669213753,6.205796236647198
FTP,1,true,1995,0,0.5545758798939633,0.6791026726734377,277.43554423131076,6.229833678808464
FTP,1,true,1995,1,0.5565910910109875,0.6347958489781405,306.8149180971932,6.223014430434595
FTP,1,true,1995,2,0.5564913955794052,0.5931367341040941,327.9412127574898,6.20165793741288
FTP,1,true,1995,3,0.5558889757940189,0.554018904928451,344.1888961920739,6.178040730869905
FTP,1,true,1996,0,0.5564048727035845,0.5170162180785582,358.11275663489175,6.170677889567885
FTP,1,true,1996,1,0.553841670993217,0.4815322381132425,371.86495956977365,6.156529592564809
FTP,1,true,1996,2,0.5550184540509563,0.4506984148583518,383.64513944130255,6.132927779262272
FTP,1,true,1996,3,0.5563061549481138,0.42396102518490636,395.7333612547522,6.118696117644329
FTP,1,true,1997,0,0.5571930580749354,0.400746405766116,405.38073073829105,6.1074451530871565
FTP,1,true,1997,1,0.5573347945822976,0.38056846812845113,411.006845377017,6.087191618720797
FTP,1,true,1997,2,0.5589871318478309,0.3630227499431728,420.95038662107567,6.080397932320901
