source,arm,est_sample,year,Q,J,E,E1,E2,E3,E4,W,case,yQ
CTJF,0,true,1997,2,0.5646741974089067,2.944036730550416,0.43532580259109316,0.08370606946195461,0.20367791608342242,0.27729021186352976,1.0,ex-post,18
CTJF,0,true,1997,3,0.5792970765198795,2.972602302442369,0.4207029234801206,0.09113913097457324,0.18888012266197152,0.2992778228833345,1.0,ex-post,19
CTJF,0,true,1998,0,0.5879572761156745,3.0131982375004704,0.4120427238843254,0.08313618706905622,0.18088412720394823,0.32393696184267035,1.0,ex-post,20
CTJF,0,true,1998,1,0.5977152296176562,3.04771267622001,0.4022847703823442,0.07565699784140019,0.1743104284715781,0.3477478033046777,1.0,ex-post,21
CTJF,0,true,1998,2,0.6172484799928145,3.084921809736738,0.3827515200071852,0.07488317420786565,0.1704948125023263,0.37187049328262317,1.0,ex-post,22
CTJF,0,true,1998,3,0.6288831801960877,3.1145384796680466,0.37111681980391237,0.06701476142187052,0.17387432998609542,0.38799408878812147,1.0,ex-post,23
CTJF,0,true,1999,0,0.6406694438159067,3.14454391294138,0.3593305561840929,0.07018988014858105,0.16249400182941826,0.40798556183790713,1.0,ex-post,24
CTJF,0,true,1999,1,0.649416052460446,3.1763146706313483,0.35058394753955413,0.06522049697948892,0.1504737319066212,0.43372182357433586,1.0,ex-post,25
CTJF,0,true,1999,2,0.6655436461739674,3.2146410052251135,0.33445635382603295,0.059909329432733145,0.14604714108618733,0.45958717565504675,1.0,ex-post,26
CTJF,0,true,1999,3,0.6727019461298218,3.258620166699872,0.3272980538701781,0.04951620552118909,0.14251991160287106,0.4806658290057615,1.0,ex-post,27
CTJF,0,true,2000,0,0.6640889846109416,3.2678077399377736,0.3359110153890577,0.0489632259519203,0.12694430204233312,0.4881814566166891,1.0,ex-post,28
CTJF,0,true,2000,1,0.659476859368974,3.2626102655684965,0.3405231406310262,0.050247746045183665,0.12712124990220589,0.4821078634215846,1.0,ex-post,29
CTJF,0,true,2000,2,0.6613890177207379,3.2634411863462103,0.3386109822792623,0.04170827384767639,0.1359412857081006,0.4837394581649605,1.0,ex-post,30
CTJF,0,true,2000,3,0.6647664278323515,3.2800187827653144,0.33523357216764865,0.03931901593596537,0.12908112827432763,0.4963662836220576,1.0,ex-post,31
CTJF,0,true,2001,0,0.6965921258973343,3.3697872342601416,0.3034078741026657,0.04256567320104,0.1130319457941552,0.5409945069021396,1.0,ex-post,32
MFIP,2,true,1994,2,0.4510097764140397,2.4899706194768654,0.5489902235859605,0.1819888020542649,0.2111790842737266,0.0578418900860483,1.0,ex-post,6
MFIP,2,true,1994,3,0.5086513704235276,2.6031253411091195,0.49134862957647246,0.15082858793784226,0.25042059230687297,0.1074021901788123,1.0,ex-post,7
MFIP,2,true,1995,0,0.5073376437780784,2.6851373819252453,0.49266235622192145,0.11886902905769901,0.24498340094284288,0.1434852137775366,1.0,ex-post,8
MFIP,2,true,1995,1,0.5173120272847878,2.7385091555357377,0.48268797271521224,0.10009897323410748,0.24893625288632384,0.16827680116435606,1.0,ex-post,9
MFIP,2,true,1995,2,0.5118476228653381,2.8012199327888507,0.488152377134662,0.0804680355697816,0.2386108064834269,0.19276878081212942,1.0,ex-post,10
MFIP,2,true,1995,3,0.5229781574510757,2.8251827634431628,0.47702184254892427,0.0775738294532526,0.22738744101929168,0.21801688697853142,1.0,ex-post,11
MFIP,2,true,1996,0,0.5310564095038203,2.856506063484906,0.46894359049617973,0.07498963122215727,0.2213467369285039,0.23472004135315877,1.0,ex-post,12
MFIP,2,true,1996,1,0.5281227987771739,2.8823007321773693,0.4718772012228259,0.0709658996557374,0.20922320392122887,0.24793369520020728,1.0,ex-post,13
MFIP,2,true,1996,2,0.5529243023591064,2.9331131384524722,0.44707569764089344,0.06931124684903961,0.1967805688762275,0.28683248663383953,1.0,ex-post,14
MFIP,2,true,1996,3,0.5990541025835815,2.991618133468007,0.4009458974164187,0.07703234728088591,0.1924906481088753,0.32953110719381984,1.0,ex-post,15
MFIP,2,true,1997,0,0.6070461092249219,3.0445144237133293,0.39295389077507814,0.07058868332909839,0.17796275986193524,0.3584946660338881,1.0,ex-post,16
